School_ID,Short_Name,Grade_Cat,Lat,Long
610561,CRANE MEDICAL HS,HS,41.87694744,-87.68330135
400180,KIPP - ONE,ES,41.89380504,-87.7266148
610590,BRONZEVILLE CLASSICAL,ES,41.81924917,-87.62662118
609874,DIRKSEN,ES,41.97371478,-87.84104144
609695,AMUNDSEN HS,HS,41.97506726,-87.67948421
609730,SENN HS,HS,41.98902854,-87.66713619
609733,SULLIVAN HS,HS,42.00268756,-87.66919215
609880,DECATUR,ES,42.00928856,-87.70461859
609850,GREELEY,ES,41.95280951,-87.65097987
609852,CHAPPELL,ES,41.9758943,-87.68326359
609859,CLINTON,ES,41.99254136,-87.69835995
609779,ARMSTRONG G,ES,42.01014998,-87.68444183
609804,MOSAIC,ES,42.00341161,-87.69746282
609865,JORDAN,ES,42.01708759,-87.67776252
609899,EBINGER,ES,42.00440792,-87.81116978
609918,FIELD,ES,42.00966386,-87.6699854
609933,GALE,ES,42.02109056,-87.67193898
609945,GOUDY,ES,41.97581653,-87.65791249
609976,HAYT,ES,41.99454089,-87.66850377
610022,KILMER,ES,42.00364046,-87.66822247
610122,PEIRCE,ES,41.98345579,-87.66585004
610147,ROGERS,ES,42.01526505,-87.69718539
610191,STONE,ES,41.99535905,-87.68479279
610196,SWIFT,ES,41.98913906,-87.65829608
610394,UPLIFT HS,HS,41.96554746,-87.65247335
610242,BRENNEMANN,ES,41.95998416,-87.64974917
610269,MCCUTCHEON,ES,41.97094908,-87.65475845
610284,NEW FIELD,ES,42.00770257,-87.67316833
610355,COURTENAY,ES,41.96230777,-87.66385296
610363,DISNEY,ES,41.95681613,-87.64608274
610542,WEST RIDGE,ES,42.00295899,-87.70591721
400023,CICS - AVALON/SOUTH SHORE,ES,41.74317942,-87.58792764
400026,CICS - LOOMIS,ES,41.72024642,-87.65756106
400031,CICS - WRIGHTWOOD,ES,41.74536545,-87.6926144
400032,CICS - ELLISON HS,HS,41.74838241,-87.66897964
400033,CICS - LONGWOOD,HS,41.72122143,-87.65576813
400061,PERSPECTIVES - LEADERSHIP HS,HS,41.73879092,-87.62650132
400062,PERSPECTIVES - TECH HS,HS,41.73752473,-87.62649482
400066,PERSPECTIVES - MATH & SCI HS,HS,41.82778386,-87.62478772
400075,U OF C - DONOGHUE,ES,41.82772608,-87.60850078
400077,U OF C - WOODLAWN HS,HS,41.78041191,-87.59737972
400106,NOBLE - JOHNSON HS,HS,41.7783695,-87.6351167
400111,LEARN - PERKINS,ES,41.74312177,-87.66572106
400117,NOBLE - HANSBERRY HS,HS,41.73444162,-87.65098673
400129,YCCS - PROGRESSIVE LEADERSHIP,HS,41.77416955,-87.6158421
400130,YCCS - YOUTH DEVELOPMENT,HS,41.75137711,-87.64173119
400139,YCCS - SULLIVAN,HS,41.74628657,-87.57849167
400147,CHICAGO EXCEL HS,HS,41.69196931,-87.65372654
400150,YCCS - CHATHAM,HS,41.73013138,-87.60697991
610557,PATHWAYS - ASHBURN HS,HS,41.73523902,-87.70406007
400168,GREAT LAKES,ES,41.74267138,-87.5599069
400181,ART IN MOTION,HS,41.76003434,-87.58332768
610593,OMBUDSMAN - ROSELAND HS,HS,41.69510526,-87.64281615
400028,CICS - PRAIRIE,ES,41.68443304,-87.61688838
400092,CICS - BOND,ES,41.65366345,-87.6050391
400094,EPIC HS,HS,41.74484911,-87.55022237
400136,YCCS - OLIVE HARVEY,HS,41.7129221,-87.5923332
400161,CHICAGO COLLEGIATE,HS,41.67931844,-87.61796787
400175,EXCEL SOUTH SHORE HS,HS,41.75974864,-87.55648708
610573,SAFE ACHIEVE HS,HS,41.7531149,-87.55180355
610572,SAFE ACHIEVE ES,ES,41.75311714,-87.55051276
400013,ASPIRA - EARLY COLLEGE HS,HS,41.93729829,-87.72709566
400022,CHIARTS HS,HS,41.89937657,-87.69494501
400027,CICS - IRVING PARK,ES,41.95089128,-87.71049243
400030,CICS - WEST BELDEN,ES,41.9216875,-87.77674854
400039,ERIE,ES,41.90677064,-87.69436445
400054,NOBLE - PRITZKER HS,HS,41.91521411,-87.73012671
400082,ACERO - FUENTES,ES,41.93747578,-87.69959365
400114,ACERO - SANTIAGO,ES,41.90034364,-87.68989562
400120,ACERO - CLEMENTE,ES,41.91795168,-87.78783044
400125,YCCS - ASPIRA PANTOJA,HS,41.9381866,-87.72713736
400126,YCCS - ASSOCIATION HOUSE,HS,41.90157241,-87.70685988
400131,YCCS - CAMPOS,HS,41.9028497,-87.69600602
400159,CHRISTOPHER HOUSE,ES,41.92218116,-87.75752153
400162,INTRINSIC HS,HS,41.93898843,-87.74112863
400169,NOBLE - ITW SPEER HS,HS,41.91726641,-87.75967517
609766,VAUGHN HS,HS,41.9603638,-87.76466317
610568,PATHWAYS - AVONDALE HS,HS,41.93943321,-87.70520632
400172,ASPIRA - BUSINESS & FINANCE HS,HS,41.93572647,-87.71820414
610594,PATHWAYS - HUMBOLDT PARK HS,HS,41.90284076,-87.68794643
400009,GLOBAL CITIZENSHIP,ES,41.81342,-87.748
400050,NAMASTE,ES,41.82569976,-87.66772404
400079,ACERO - ZIZUMBO,ES,41.81013479,-87.73049512
400080,ACERO - TORRES,ES,41.80819981,-87.73045044
400081,ACERO - DE LAS CASAS,ES,41.85950401,-87.66794917
400083,ACERO - PAZ,ES,41.85003541,-87.6925509
400084,ACERO - TAMAYO,ES,41.79993019,-87.69386164
400085,ACERO - GARCIA HS,HS,41.80917079,-87.73046685
400089,ACERO - MARQUEZ,ES,41.80830882,-87.6973941
400101,ACERO - CISNEROS,ES,41.82288374,-87.69399616
400104,INSTITUTO - HEALTH HS,HS,41.84596659,-87.68724016
400112,ACERO - IDAR,ES,41.80104241,-87.70879678
400135,YCCS - LATINO YOUTH,HS,41.85466466,-87.69543001
400145,YCCS - YOUTH CONNECTION,HS,41.857208,-87.644888
400164,INSTITUTO - JUSTICE HS,HS,41.84544602,-87.68406494
400149,ACERO - SOTO HS,HS,41.80176225,-87.71102498
400153,ACERO - BRIGHTON PARK,ES,41.81310945,-87.69323838
400167,HORIZON - SOUTHWEST,ES,41.79520095,-87.68396339
400173,PATHWAYS - BRIGHTON PARK HS,HS,41.80822579,-87.70264475
609748,YORK HS,HS,41.84253335,-87.69526102
610386,PEACE AND EDUCATION HS,HS,41.80351472,-87.66737776
610504,THOMAS,ES,41.82777491,-87.67754185
400179,NOBLE - MANSUETO HS,HS,41.80798719,-87.69705748
400025,CICS - BUCKTOWN,ES,41.92241463,-87.68135796
400034,CICS - NORTHTOWN HS,HS,41.99024501,-87.72650426
609744,NORTHSIDE LEARNING HS,HS,41.98297252,-87.72238622
610083,BEARD,ES,41.97012488,-87.78963033
610402,DEVRY HS,HS,41.96881958,-87.67632647
610595,FISHER,ES,41.91600801,-87.6346366
610599,CATALPA,ES,41.96198328,-87.75779107
609871,VICK,ES,41.68819084,-87.6856766
610087,BLAIR,ES,41.77655627,-87.79060442
400011,LOCKE A,ES,41.87724835,-87.70523453
400021,CATALYST - CIRCLE ROCK,ES,41.88232222,-87.76532198
400024,CICS - BASIL,ES,41.79404286,-87.67024266
400029,CICS - WASHINGTON PARK,ES,41.7841264,-87.62126075
400046,LEARN - BUTLER,ES,41.86727271,-87.71067948
400047,LEARN - CAMPBELL,ES,41.87786063,-87.69873872
400048,LEARN - EXCEL,ES,41.88731992,-87.70207089
400049,LEGACY,ES,41.85696245,-87.70850768
400051,NOBLE - NOBLE HS,HS,41.90019052,-87.66262778
400053,NOBLE - GOLDER HS,HS,41.89528219,-87.664483
400055,NOBLE - RAUNER HS,HS,41.89242501,-87.66085887
400056,NOBLE - ROWE CLARK HS,HS,41.89536226,-87.71804677
400057,NOBLE - UIC HS,HS,41.86581741,-87.67611093
400058,NLCP - CHRISTIANA HS,HS,41.85856355,-87.70898711
400064,PERSPECTIVES - JOSLIN HS,HS,41.85599911,-87.6285309
400068,PLATO,ES,41.87276043,-87.76333693
400069,POLARIS,ES,41.89255017,-87.70779647
400071,PROVIDENCE ENGLEWOOD,ES,41.77536737,-87.66399583
400091,CHICAGO TECH HS,HS,41.86330141,-87.6590948
400097,NOBLE - BULLS HS,HS,41.87880881,-87.67819526
400098,NOBLE - MUCHIN HS,HS,41.88274026,-87.62633828
400115,CATALYST - MARIA ES,ES,41.77099955,-87.69308108
400116,MONTESSORI ENGLEWOOD,ES,41.76739011,-87.66763901
400118,NOBLE - DRW HS,HS,41.86932808,-87.71165423
